日期  ,时间  ,纬度  ,经度  ,速率 , 卫星 ,海拔  
  17年 05月 10日, 9时41分 56秒, 4048.123,111.41.442, 012.4,10,1045m
  17年 05月 10日, 9时41分 57秒, 4048.120,111.41.443, 012.2,10,1044m
  17年 05月 10日, 9时41分 58秒, 4048.117,111.41.444, 011.4,10,1044m
  17年 05月 10日, 9时41分 59秒, 4048.114,111.41.446, 011.4,10,1044m
  17年 05月 10日, 9时42分 00秒, 4048.111,111.41.447, 011.4,10,1043m
  17年 05月 10日, 9时42分 01秒, 4048.108,111.41.448, 011.4,10,1043m
  17年 05月 10日, 9时42分 02秒, 4048.105,111.41.450, 011.8,10,1043m
  17年 05月 10日, 9时42分 03秒, 4048.102,111.41.451, 011.8,09,1042m
  17年 05月 10日, 9时42分 04秒, 4048.098,111.41.452, 011.3,10,1042m
  17年 05月 10日, 9时42分 05秒, 4048.096,111.41.453, 010.2,10,1042m
  17年 05月 10日, 9时42分 06秒, 4048.093,111.41.453, 009.4,10,1042m
  17年 05月 10日, 9时42分 07秒, 4048.091,111.41.452, 009.0,10,1041m
  17年 05月 10日, 9时42分 08秒, 4048.088,111.41.451, 008.6,10,1041m
  17年 05月 10日, 9时42分 09秒, 4048.087,111.41.449, 007.8,10,1041m
  17年 05月 10日, 9时42分 10秒, 4048.086,111.41.446, 008.9,10,1041m
  17年 05月 10日, 9时42分 11秒, 4048.085,111.41.443, 009.5,10,1042m
  17年 05月 10日, 9时42分 13秒, 4048.083,111.41.436, 008.2,10,1042m
  17年 05月 10日, 9时42分 14秒, 4048.082,111.41.433, 008.1,10,1042m
  17年 05月 10日, 9时42分 14秒, 4048.082,111.41.433, 008.1,10,1041m
  17年 05月 10日, 9时42分 15秒, 4048.081,111.41.431, 007.7,10,1041m
  17年 05月 10日, 9时42分 16秒, 4048.081,111.41.428, 007.6,10,1041m
  17年 05月 10日, 9时42分 18秒, 4048.079,111.41.423, 007.2,10,1041m
  17年 05月 10日, 9时42分 18秒, 4048.079,111.41.423, 007.2,10,1041m
  17年 05月 10日, 9时42分 20秒, 4048.078,111.41.419, 005.9,10,1041m
  17年 05月 10日, 9时42分 20秒, 4048.078,111.41.419, 005.9,10,1042m
  17年 05月 10日, 9时42分 21秒, 4048.077,111.41.417, 003.9,10,1042m
  17年 05月 10日, 9时42分 23秒, 4048.076,111.41.414, 004.0,10,1042m
  17年 05月 10日, 9时42分 23秒, 4048.076,111.41.414, 004.0,10,1042m
  17年 05月 10日, 9时42分 24秒, 4048.076,111.41.413, 003.7,10,1042m
  17年 05月 10日, 9时42分 26秒, 4048.075,111.41.411, 003.1,10,1042m
  17年 05月 10日, 9时42分 26秒, 4048.075,111.41.411, 003.1,10,1043m
  17年 05月 10日, 9时42分 28秒, 4048.075,111.41.408, 003.9,10,1043m
  17年 05月 10日, 9时42分 28秒, 4048.075,111.41.408, 003.9,10,1044m
  17年 05月 10日, 9时42分 30秒, 4048.074,111.41.404, 003.9,10,1044m
  17年 05月 10日, 9时42分 31秒, 4048.074,111.41.402, 003.3,10,1044m
  17年 05月 10日, 9时42分 32秒, 4048.075,111.41.401, 003.3,10,1045m
  17年 05月 10日, 9时42分 32秒, 4048.075,111.41.401, 003.3,10,1045m
  17年 05月 10日, 9时42分 33秒, 4048.076,111.41.400, 004.3,10,1046m
  17年 05月 10日, 9时42分 35秒, 4048.078,111.41.400, 002.7,10,1046m
  17年 05月 10日, 9时42分 35秒, 4048.078,111.41.400, 002.7,10,1047m
  17年 05月 10日, 9时42分 37秒, 4048.079,111.41.401, 002.7,10,1047m
  17年 05月 10日, 9时42分 37秒, 4048.079,111.41.401, 002.7,10,1047m
  17年 05月 10日, 9时42分 39秒, 4048.080,111.41.402, 002.5,10,1048m
  17年 05月 10日, 9时42分 39秒, 4048.080,111.41.402, 002.5,10,1048m
  17年 05月 10日, 9时42分 40秒, 4048.080,111.41.403, 001.7,10,1048m
  17年 05月 10日, 9时42分 41秒, 4048.080,111.41.403, 001.7,10,1049m
  17年 05月 10日, 9时42分 42秒, 4048.080,111.41.404, 001.6,10,1049m
  17年 05月 10日, 9时42分 44秒, 4048.080,111.41.405, 001.4,10,1049m
  17年 05月 10日, 9时42分 44秒, 4048.080,111.41.405, 001.4,10,1049m
  17年 05月 10日, 9时42分 45秒, 4048.081,111.41.405, 001.5,10,1049m
  17年 05月 10日, 9时42分 47秒, 4048.081,111.41.407, 001.2,10,1049m
  17年 05月 10日, 9时42分 47秒, 4048.081,111.41.407, 001.2,10,1049m
  17年 05月 10日, 9时42分 49秒, 4048.081,111.41.407, 000.4,10,1050m
  17年 05月 10日, 9时42分 50秒, 4048.081,111.41.407, 000.0,10,1050m
  17年 05月 10日, 9时42分 50秒, 4048.081,111.41.407, 000.0,10,1050m
  17年 05月 10日, 9时42分 52秒, 4048.081,111.41.408, 000.0,10,1050m
  17年 05月 10日, 9时42分 53秒, 4048.081,111.41.408, 000.0,10,1050m
  17年 05月 10日, 9时42分 53秒, 4048.081,111.41.408, 000.0,10,1050m
  17年 05月 10日, 9时42分 55秒, 4048.081,111.41.408, 000.0,10,1050m
  17年 05月 10日, 9时42分 56秒, 4048.081,111.41.408, 000.0,10,1050m
  17年 05月 10日, 9时42分 56秒, 4048.081,111.41.408, 000.0,10,1050m
  17年 05月 10日, 9时42分 58秒, 4048.081,111.41.408, 000.0,10,1050m
  17年 05月 10日, 9时42分 58秒, 4048.081,111.41.408, 000.0,10,1050m
  17年 05月 10日, 9时43分 00秒, 4048.081,111.41.408, 000.0,09,1050m
  17年 05月 10日, 9时43分 00秒, 4048.081,111.41.408, 000.0,09,1050m
  17年 05月 10日, 9时43分 02秒, 4048.081,111.41.408, 000.0,09,1050m
  17年 05月 10日, 9时43分 03秒, 4048.081,111.41.408, 000.0,09,1050m
  17年 05月 10日, 9时43分 03秒, 4048.081,111.41.408, 000.0,09,1050m
  17年 05月 10日, 9时43分 05秒, 4048.081,111.41.408, 000.0,09,1050m
  17年 05月 10日, 9时43分 05秒, 4048.081,111.41.408, 000.0,09,1050m
  17年 05月 10日, 9时43分 06秒, 4048.081,111.41.408, 000.0,09,1050m
  17年 05月 10日, 9时43分 07秒, 4048.081,111.41.408, 000.0,09,1050m
  17年 05月 10日, 9时43分 09秒, 4048.081,111.41.408, 000.0,09,1050m
  17年 05月 10日, 9时43分 10秒, 4048.081,111.41.408, 000.0,09,1050m
  17年 05月 10日, 9时43分 10秒, 4048.081,111.41.408, 000.0,09,1050m
  17年 05月 10日, 9时43分 10秒, 4048.081,111.41.408, 000.0,09,1050m
  
